Bajaj Auto Limited,BAJAJ-AUTO,Auto
Tata Motors Limited,TATAMOTORS,Auto
Maruti Suzuki India Limited,MARUTI,Auto
Mahindra & Mahindra Limited,M&M,Auto
Bosch Limited,BOSCHLTD,Auto
TVS Motor Company Limited,TVSMOTOR,Auto
Hero MotoCorp Limited,HEROMOTOCO,Auto
Ashok Leyland Limited,ASHOKLEY,Auto
Apollo Tyres Limited,APOLLOTYRE,Auto
Exide Industries Limited,EXIDEIND,Auto
Infosys Limited,INFY,IT
Wipro Limited,WIPRO,IT
MindTree Limited,MINDTREE,IT
Tech Mahindra Limited,TECHM,IT
Tata Consultancy Services Limited,TCS,IT
HCL Technologies Limited,HCLTECH,IT
Just Dial Limited,JUSTDIAL,IT
ICICI Bank Limited,ICICIBANK,Financial services
Kotak Mahindra Bank Limited,KOTAKBANK,Financial services
State Bank of India,SBIN,Financial services
Reliance Capital Limited,RELCAPITAL,Financial services
Axis Bank Limited,AXISBANK,Financial services
HDFC Bank Limited,HDFCBANK,Financial services
Dr. Reddy's Laboratories Limited,DRREDDY,Pharma
GlaxoSmithKline Pharmaceuticals Limited,GLAXO,Pharma
Cipla Limited,CIPLA,Pharma
Sun Pharmaceuticals Industries Limited,SUNPHARMA,Pharma
Glenmark Pharmaceuticals Limited,GLENMARK,Pharma
DLF Limited,DLF,Realty
Oberoi Realty Limited,OBEROIRLTY,Realty
Sobha Limited,SOBHA,Realty
Prestige Estates Projects Limited,PRESTIGE,Realty
The Phoenix Mills Limited,PHOENIXLTD,Realty
Dabur India Limited,DABUR,FMCG
ITC Limited,ITC,FMCG
Godrej Consumer Products Limited,GODREJCP,FMCG
Hindustan Unilever Limited,HINDUNILVR,FMCG
Jubilant Foodworks Limited,JUBLFOOD,FMCG
